well_id|county|spud_date|completion_date
11799|County 9|2012-08-07|2012-10-01
11800|County 8|2022-11-03|2023-05-01
11801|County 5|2015-07-17|2016-08-18
11802|County 9|2007-08-08|2007-10-14
11803|County 1|2018-01-17|2020-03-20
11804|County 6|2010-01-27|2010-03-30
11805|County 8|2012-01-13|2012-09-26
11806|County 8|2012-01-28|2012-04-06
11807|County 1|2017-03-03|2018-05-11
11808|County 6|2010-07-13|2010-10-30
11809|County 1|2010-05-28|2010-07-15
11810|County 1|2019-10-04|2020-02-01
11811|County 1|2011-09-07|2011-12-11
11812|County 1|2016-06-19|2016-10-10
11813|County 8|2012-09-28|2013-02-09
11814|County 6|2011-03-09|2011-09-30
11815|County 8|2018-11-05|2019-03-05
11816|County 6|2014-01-22|2014-06-05
11817|County 6|2015-02-23|2015-10-02
11818|County 1|2009-06-21|2009-08-02
11819|County 8|2016-03-12|2017-06-07
11820|County 1|2014-10-22|2015-08-08
11821|County 6|2017-05-18|2017-08-23
11822|County 9|2014-03-15|2014-05-25
11823|County 8|2011-06-18|2011-10-05
11824|County 9|2014-05-16|2014-12-21
11825|County 8|2022-09-20|2023-06-24
11826|County 1|2020-05-11|2021-02-04
11827|County 5|2010-09-11|2011-05-04
11828|County 5|2017-01-07|2017-04-02
11829|County 6|2019-09-02|2021-01-29
11830|County 6|2013-03-11|2014-02-26
11831|County 1|2016-02-02|2016-08-31
11832|County 6|2011-10-29|2012-01-15
11833|County 1|2014-06-14|2015-05-13
11834|County 1|2017-06-05|2018-03-20
11835|County 9|2018-01-26|2018-06-18
11836|County 7|2008-12-08|2009-07-18
11837|County 1|2019-03-12|2019-12-13
11838|County 1|2018-07-11|2018-11-03
11839|County 9|2014-05-26|2015-01-10
11840|County 1|2015-08-24|2016-12-10
11841|County 9|2013-07-24|2014-05-18
11842|County 1|2017-07-23|2017-11-14
11843|County 9|2019-03-25|2020-01-30
11844|County 1|2018-03-16|2018-12-15
11845|County 9|2014-08-05|2015-01-20
11846|County 1|2010-07-08|2010-11-29
11847|County 6|2013-02-23|2013-07-09
11848|County 1|2022-03-31|2023-05-07
11849|County 11|2012-01-19|2012-05-20
11850|County 8|2023-03-23|2023-08-31
11851|County 8|2013-05-01|2013-08-01
11852|County 1|2016-02-11|2018-01-13
11853|County 9|2012-04-24|2012-07-12
11854|County 9|2011-01-12|2011-04-22
11855|County 9|2007-11-22|2008-02-24
11856|County 5|2014-05-12|2014-07-03
11857|County 8|2014-12-29|2015-10-10
11858|County 1|2015-09-02|2016-04-03
11859|County 9|2009-12-18|2010-05-14
11860|County 4|2023-09-09|2023-12-12
11861|County 6|2018-08-02|2019-01-02
11862|County 6|2015-05-31|2015-09-14
11863|County 9|2013-07-26|2013-12-01
11864|County 8|2011-07-31|2011-11-23
11865|County 1|2021-11-14|2022-03-04
11866|County 9|2015-09-06|2017-05-01
11867|County 9|2007-07-27|2007-10-20
11868|County 1|2015-09-07|2016-01-10
11869|County 5|2012-05-06|2012-08-07
11870|County 1|2021-01-10|2022-12-21
11871|County 1|2014-03-20|2014-08-01
11872|County 5|2014-07-26|2015-01-31
11873|County 9|2010-12-16|2011-12-07
11874|County 6|2008-12-17|2009-02-14
11875|County 9|2014-06-08|2014-12-11
11876|County 1|2015-08-26|2016-07-01
11877|County 1|2014-01-23|2014-04-30
11878|County 9|2019-12-07|2020-11-13
11879|County 1|2014-08-14|2014-11-15
11880|County 6|2018-11-13|2019-08-03
11881|County 8|2022-04-07|2022-10-14
11882|County 9|2020-02-12|2021-05-18
11883|County 1|2019-02-27|2019-10-14
11884|County 1|2015-06-01|2015-11-27
11885|County 1|2013-12-11|2014-09-21
11886|County 1|2011-04-29|2011-08-18
11887|County 6|2016-01-11|2016-06-28
11888|County 1|2013-12-16|2014-04-08
11889|County 9|2020-04-13|2021-05-02
11890|County 7|2022-08-21|2023-01-09
11891|County 9|2018-10-01|2022-01-30
11892|County 9|2013-03-05|2013-04-23
11893|County 8|2023-06-17|2023-11-10
11894|County 6|2011-01-16|2011-07-05
11895|County 1|2014-06-15|2014-10-26
11896|County 1|2022-09-20|2023-12-16
11897|County 8|2014-12-08|2015-04-25
11898|County 1|2014-06-28|2014-11-28
11899|County 9|2022-11-22|2023-05-18
11900|County 8|2010-07-31|2011-08-25
11901|County 9|2009-03-25|2009-05-22
11902|County 6|2014-04-19|2014-08-20
11903|County 9|2010-11-25|2011-03-13
11904|County 6|2011-08-11|2011-11-29
11905|County 1|2011-09-06|2012-03-22
11906|County 6|2015-01-21|2015-12-18
11907|County 1|2012-07-14|2012-10-06
11908|County 5|2022-10-19|2023-02-14
11909|County 1|2014-03-09|2014-09-09
11910|County 8|2020-01-21|2021-05-31
11911|County 9|2015-10-29|2016-05-01
11912|County 6|2014-09-26|2015-06-14
11913|County 9|2012-07-09|2012-12-28
11914|County 1|2017-08-07|2018-07-31
11915|County 9|2012-06-06|2012-10-07
11916|County 1|2014-09-21|2016-04-11
11917|County 1|2017-09-29|2018-07-12
11918|County 8|2009-08-11|2010-04-20
11919|County 9|2022-06-06|2022-09-16
11920|County 1|2012-10-06|2013-01-10
11921|County 9|2014-05-26|2014-08-27
11922|County 9|2009-11-08|2010-04-20
11923|County 1|2017-12-08|2018-07-17
11924|County 1|2010-07-02|2010-10-17
11925|County 1|2011-11-28|2012-02-27
11926|County 1|2018-01-22|2023-09-22
11927|County 7|2010-10-07|2011-01-17
11928|County 9|2011-11-27|2012-02-28
11929|County 9|2015-01-04|2015-04-21
11930|County 1|2017-06-26|2018-04-30
11931|County 1|2014-08-20|2015-06-01
11932|County 1|2015-03-19|2015-08-09
11933|County 1|2018-10-04|2019-04-04
11934|County 9|2015-10-05|2016-09-20
11935|County 7|2012-11-04|2013-01-15
11936|County 6|2014-04-23|2015-02-18
11937|County 9|2023-04-29|2023-08-05
11938|County 6|2012-06-28|2013-02-06
11939|County 1|2015-11-24|2017-11-28
11940|County 8|2017-10-12|2018-09-29
11941|County 1|2013-02-18|2013-06-30
11942|County 8|2017-06-20|2017-10-10
11943|County 8|2020-12-05|2021-03-19
11944|County 1|2017-01-04|2017-10-06
11945|County 6|2015-02-12|2017-09-01
11946|County 6|2013-03-23|2014-01-01
11947|County 9|2011-03-20|2011-06-03
11948|County 6|2015-01-11|2015-06-03
11949|County 9|2012-08-15|2012-12-27
11950|County 4|2018-06-14|2018-11-15
11951|County 6|2015-10-17|2016-01-20
11952|County 6|2014-08-11|2015-05-13
11953|County 1|2018-02-02|2018-08-17
11954|County 8|2014-01-20|2014-07-02
11955|County 7|2014-04-26|2014-08-16
11956|County 8|2022-09-04|2023-02-15
11957|County 6|2021-11-07|2022-03-30
11958|County 8|2011-10-06|2012-02-29
11959|County 9|2008-09-24|2008-12-01
11960|County 1|2018-09-27|2019-01-30
11961|County 1|2013-06-11|2013-11-05
